제4장 양을 쫓는 모험I	Часть четвертая ОХОТА НА ОВЕЦ - I
아까 말했던 월간지의 기자에게 전 화로 물어 봤는데, 하나는 선생이 뇌졸증인지 뭔지로 쓰러져서 재기 불능이 되 었다는 이야기야.	Хотя на официальном уровне это пока не подтверждено...
하지만 그건 정식으로 확인 안 된 이야기지.	И второе - насчет типа, который сюда заявился.
또 하나는 여기 에 왔던 남자에 관한 얘긴데, 그는 선생의 제1비서로, 조직의 현실적인 운영을 맡고 있는 말하자면 이인자인 셈이지.	Это первый секретарь Сэнсэя, в Организации - Человек Номер Два, который ведает всеми вопросами управления.
그는 일본계 미국인 2세인데 스탠포드를 나와, 12년 전부터 선생 밑에서 일하고 있지.	Сын иностранца, выпускник Стэнфорда, под Сэнсэем работает вот уже двадцать лет.
정체 불명의 사나이지만, 머리가 무섭게 잘 돌아가는 모양이야.	Темная лошадка, но с мертвой хваткой и мгновенной реакцией.
알아낸 건 그 정도야.' '고마워'라고 나는 인사말을 했다.	Это все, что мне удалось разузнать.
그는 내 얼굴도 보지 않고 '천만에' 라고 말했다.	- Спасибо, - вежливо сказал я.
그는 과음만 하지 않으면 어디로 보더라도 나보다 훨씬 정상이었다.	- Не за что! - ответил мой напарник, стараясь не глядеть на меня.
	До тех пор, пока он не напивался, - что говорить! - он был гораздо достойнее меня.
나보다 도 훨씬 친절하고 순수하고 사고 방식 또한 건전했다.	Во всех отношениях - добрее, наивнее, рассудительнее.
그러나 그는 얼마 안 가 취하게 된다. 그런 생각을 하는 게 괴로웠다.	Но рано или поздно он все-таки непременно сопьется.
나보다 성실하고 정상적인 사람 이 나보다 먼저 망가져 가는 것이다.	И от этого на душе у меня делалось тяжело.
	От самой мысли - о том, что многие люди явно достойней меня приходят в негодность гораздо быстрее.
그가 방을 나간 다음에, 나는 서랍에서 그의 위스키를 찾아내 혼자서 마셨다.	Когда мой напарник вышел из комнаты, я отыскал в шкафу его виски, сел и принялся пить в одиночку.
